datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,battery,temp,temp_motor,temp_batt,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-04-24T23:16:38.825+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,,98.05,0.04,3.20,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.distance=0
2025-04-24T23:16:38.965+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.distanceUser=12954.137
2025-04-24T23:16:39.164+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.05,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.distanceTotal=12954.238
2025-04-24T23:16:39.365+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.05,0.04,3.20,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.firmware=1.1.7
2025-04-24T23:16:39.581+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.20,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.make=Veteran
2025-04-24T23:16:39.781+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.05,0.04,3.20,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.model=Sherman Max
2025-04-24T23:16:39.982+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.20,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.type=VETERAN
2025-04-24T23:16:40.183+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.05,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.btAddress=88:25:83:F5:50:BA
2025-04-24T23:16:40.381+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.05,3.50,5,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.btName=LK10657
2025-04-24T23:16:40.595+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.05,3.50,5,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,euc.speedCorrection=0
2025-04-24T23:16:40.800+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.05,3.60,5,94,27,,,98,,-0.2,,,,0,,,,,,,,,,,,,,,euc.distCorrection=0
2025-04-24T23:16:41.003+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.05,3.60,5,94,27,,,98,,-0.2,,,,0,,,,,,,,,,,,,,,info.manufacturer=samsung
2025-04-24T23:16:41.207+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.05,3.50,5,94,27,,,98,,-0.2,,,,0,,,,,,,,,,,,,,,info.brand=samsung
2025-04-24T23:16:41.408+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.device=r9q
2025-04-24T23:16:41.607+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.display=UP1A.231005.007.G990BXXSCGYC9
2025-04-24T23:16:41.817+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.90,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.id=UP1A.231005.007
2025-04-24T23:16:42.009+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.model=SM-G990B
2025-04-24T23:16:42.223+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.05,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.product=r9qxeea
2025-04-24T23:16:42.426+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.sdk=34
2025-04-24T23:16:42.630+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.00,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.instance=809b6ce8137bf2a2
2025-04-24T23:16:42.821+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.appVersionName=2.52.3
2025-04-24T23:16:43.034+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.90,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.appVersionCode=2020520003
2025-04-24T23:16:43.227+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.90,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.timeZone=Europe/Rome
2025-04-24T23:16:43.427+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.00,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.gnssTimeSkew=-309
2025-04-24T23:16:43.645+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.00,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.networkTimeSkew=-245
2025-04-24T23:16:43.842+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.20,4,94,27,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.gpsTimeSkew=0
2025-04-24T23:16:44.044+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,info.gpsTimeCorrection=0
2025-04-24T23:16:44.251+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:44.444+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.20,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:44.644+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.20,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:44.848+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.80,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:45.063+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.90,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:45.270+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.20,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:45.469+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.00,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:45.664+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:45.867+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:46.066+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:46.269+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,3.10,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:46.485+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.80,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:46.681+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.90,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:46.885+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.90,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:47.091+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.80,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:47.281+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.80,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:47.482+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.80,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
2025-04-24T23:16:47.678+0200,0,0,0.000,12954.238,0.00,0.00,0.00,0.00,280.00,0.00,98.04,0.04,2.90,4,94,28,,,99,,-0.2,,,,0,,,,,,,,,,,,,,,
